week,avg_users,sales_growth_rate,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
2023-W21,328,-0.003,,,Stable,,2751,Falling,1359.46,194,Falling,1067.07,-9,Stable,1566.1,2752,Rising,724.5,,Rising,634.56,1110,,673.7,2869,,33.21,2292,Stable,466.76,2434,,626.28,1913,,1036.96,2266,,1732.17,2220,Falling,200.84,1119,Stable,,2610,,,
2023-W22,280,0.088,,,Falling,16.14,2201,Stable,,2119,Stable,1422.27,1590,,541.13,,Stable,1934.58,2870,Falling,865.59,1660,,144.19,263,Rising,,909,Stable,1234.13,120,Stable,784.18,1333,Falling,1972.79,2042,,190.41,2746,Stable,,789,Rising,348.4,,Rising,1418.63,1105
2023-W23,130,0.073,1231.77,1381,,1656.94,,Rising,262.3,76,Stable,135.74,2855,Rising,,781,,836.19,,Rising,,2469,Rising,139.51,384,Falling,1485.99,305,,1827.78,2918,Stable,505.16,,Rising,1490.95,50,Falling,840.78,864,,537.78,,Stable,440.98,1897,Stable,,1323
2023-W24,291,0.077,184.26,,,902.57,982,Rising,,2139,Rising,1734.52,892,Rising,522.18,2568,Falling,1812.57,1033,,392.05,2048,,1934.38,1424,Rising,322.57,1959,Falling,1545.16,,Stable,5.64,834,Stable,888.36,2207,Stable,,605,Rising,,178,Stable,,614,Stable,217.92,2173
2023-W25,200,-0.003,,243,Rising,514.97,329,Stable,374.81,1232,Stable,84.69,2785,Rising,1297.35,,Falling,,1016,Falling,881.39,,Stable,657.38,1328,,871.83,1483,Falling,,6,Stable,1533.28,355,Stable,,2914,,828.67,123,Stable,,1348,Rising,434.84,,Falling,1800.13,
2023-W26,135,0.08,401.13,2228,Falling,883.78,,Rising,,1279,Rising,1534.21,,Falling,1790.46,1004,Rising,1469.8,,,,,,987.64,293,,250.8,2762,Stable,541.26,2207,,610.52,2962,Stable,,48,Stable,618.45,,Falling,1812.87,1747,Stable,1974.15,2927,,857.43,
2023-W27,171,-0.015,722.56,,Rising,1668.53,,Stable,1130.31,380,Falling,1252.42,1976,,1287.9,2200,Rising,1307.65,-18,Stable,1148.64,2606,,138.36,878,Falling,1967.78,52,,190.5,786,Falling,1055.38,1624,Rising,753.91,1283,Stable,548.1,,Falling,688.16,2705,Stable,284.6,932,Falling,1610.67,1897
2023-W28,125,0.058,1341.1,,Stable,,702,Rising,113.74,-22,Rising,,2911,Stable,1138.29,2426,,,858,Falling,227.18,2166,,1538.14,602,Stable,1037.65,2887,Falling,1964.49,1361,Falling,,1335,Rising,752.64,1126,Stable,1475.31,,,,2122,,1295.47,698,Falling,618.21,1549
2023-W29,305,0.002,,,Rising,1894.56,1557,Stable,1708.93,125,Stable,1255.56,496,Rising,938.41,2838,Falling,,1084,,181.72,905,Rising,1029.76,1988,Falling,1797.29,718,,732.43,683,Rising,1735.67,467,Rising,1840.07,421,Falling,571.66,,,564.25,1805,Rising,,1354,Falling,1197.75,2738
2023-W30,346,0.095,525.5,1827,Stable,981.23,871,,1666.25,764,,548.84,1208,,1608.49,,Falling,978.26,,,1635.76,2501,Rising,1018.79,2744,,389.59,1110,,392.36,,,739.42,,Falling,677.47,1922,,,720,Falling,977.46,428,Rising,462.03,1141,Stable,831.08,2726
2023-W31,313,-0.03,,1780,Stable,1668.94,2540,Rising,1109.39,,Stable,1602.05,2662,Stable,709.52,373,,1371.06,1799,Stable,397.0,,Stable,709.82,2183,,671.02,1667,Stable,1872.89,32,Rising,974.58,1247,Stable,,,Stable,1735.32,,Stable,1821.54,817,Stable,1966.14,884,,,2965
2023-W32,375,0.05,963.48,1282,Stable,1263.27,331,Falling,1526.63,36,Rising,1198.25,955,Rising,313.76,-22,Rising,864.64,2022,Falling,748.5,507,Stable,1624.59,654,Rising,1015.82,271,Rising,1799.37,971,Falling,1526.8,82,Falling,1083.22,,Falling,1911.22,374,Stable,,0,Falling,1686.79,644,Rising,983.54,848
2023-W33,307,0.027,672.91,2114,Stable,,1644,Stable,359.63,2772,Rising,69.78,,Stable,857.83,2732,Falling,1492.21,1842,Rising,1986.6,749,Rising,258.31,,Stable,803.88,2944,Rising,,,,,1809,Falling,1696.51,,Falling,1522.11,,Rising,,,Rising,869.5,2428,Falling,,2605
2023-W34,306,0.02,1783.1,1678,Rising,1619.59,1459,,364.94,897,Stable,1619.12,2302,,553.21,472,,38.3,2880,,,2679,,222.71,410,,385.19,172,Falling,,2992,Stable,225.05,1325,Rising,1240.36,1717,Stable,192.44,678,Falling,1553.27,1943,Rising,1548.08,1815,Stable,,1539
2023-W35,309,0.099,1673.51,2744,Stable,1854.6,437,Stable,745.88,2240,Falling,,,Falling,1870.98,1366,Falling,1967.77,547,,1959.71,994,,751.07,210,Falling,,205,Stable,1346.97,,Falling,1797.24,-24,Falling,1814.7,2016,Falling,562.31,1486,,1840.98,686,Falling,817.55,1237,Stable,1695.61,2324
2023-W36,393,0.087,300.39,979,Stable,856.43,197,Rising,1897.92,1100,Stable,1273.72,1570,Rising,1700.64,1398,,1975.25,2090,Rising,572.13,469,Stable,1582.58,,Rising,584.49,-1,,337.76,2269,Falling,56.8,1458,Rising,752.39,1650,Stable,295.64,,,1469.65,150,Rising,1100.85,,Stable,,
2023-W37,126,0.062,1038.43,,,286.17,316,Falling,731.18,2449,Rising,1349.97,876,Falling,714.25,,Rising,1325.88,510,Rising,921.63,,,1176.65,455,,1534.9,343,Stable,584.48,172,Stable,1650.74,-11,Falling,1410.54,1383,Stable,626.35,2546,Rising,876.15,2816,,1829.03,,Falling,469.19,1152
2023-W38,150,0.007,946.82,2887,,1411.85,,Stable,1756.39,537,Rising,1360.59,339,Stable,,2065,,1303.11,1627,,,1503,Stable,70.61,1421,,987.15,,,1834.75,2346,Rising,407.8,,,,135,,1289.39,1983,,542.56,,Rising,1334.17,467,Falling,1395.09,2705
2023-W39,271,0.077,1140.39,1787,Falling,709.34,2156,,,2622,Stable,1044.48,566,Stable,1620.03,,Stable,1845.52,334,Rising,1973.02,541,,1599.22,1234,,,,Rising,,1675,Stable,1139.17,2808,,160.99,1378,Rising,480.19,584,Stable,57.28,2157,Falling,799.39,921,,,163
2023-W40,298,0.082,1002.29,2183,Stable,480.84,2726,Falling,,,Rising,,1470,Falling,1359.15,217,Rising,1630.52,1638,Stable,1450.85,1639,Stable,116.86,2345,,456.05,2408,Stable,,2670,,1862.21,180,Rising,876.86,1111,,1894.33,329,,1823.16,,Stable,135.07,850,,,1616
